Year_Month,Index_1,RANK,NAME,PrevBasho,PrevRank,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,JW,JL,Index_2
188101,6,K1e,Aratora,4-2-2-2d,M3w,,,,,,X,,,,X,,X,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
188101,7,K1w,Onomatsu,0-0-10,S1w,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
188101,8,M1e,Hibikiya,3-4-3,M1e,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
188101,9,M1w,Shitenryu,7-0-2-1d,M6w,,X,,,,,,,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
188101,10,M2e,Sekinoto,2-3-2-3d,M1w,,,,,,X,,,,X,,X,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
188101,11,M2w,Tomonohira,8-1-1,M7w,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
188101,12,M3e,Kashiwado,3-2-4-1d,M4w,,,,,,X,,,,X,,X,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
188101,13,M3w,Arakado,1-4-4-1d,M4e,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
188101,14,M4e,Katsunoura,2-4-1-3d,M5e,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
188101,15,M4w,Kiyomigata,3-6-1,M6e,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
188101,16,M5e,Urakaze,1-4-2-1d-2a,M2e,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
188101,17,M5w,Omatoi,0-0-10,M2w,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
188101,18,M6e,Ageshio,0-4-4-2d,M9wOB,,,,,,X,,,,X,,X,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
188101,19,M6w,Chibagatake,1-4-1-2d-2a,M5w,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
188101,20,M7e,Takachiho,6-2-1d,J1w,,,,,,X,,,,X,,X,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
188101,21,M7w,Inagawa,3-4-2-1d,M8e,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
188101,22,M8e,Irumagawa,2-4-3-1d,M7e,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
188101,23,M8w,Dategaseki,3-5-1-1a,M9w,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
